federal_district,region,Название_полигона,Вид_организации,area_km2,population,Количество_организаций,density_per_1000km2,density_per_100k
Центральный,Воронежская обл,Воронежская,Управляющие компании ИФ ПИФ и НПФ,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Депозитарии,52216.0,2273417.0,1,0.019151218017465912,0.0439866509311754
Центральный,Воронежская обл,Воронежская,Саморегулируемые организации в сфере финансового рынка,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Депозитариев,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Управляющих,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,СРО Специализированных депозитариев,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Управляющие компании специализированных обществ,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Страховые брокеры,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Микрофинансовые компании,52216.0,2273417.0,7,0.13405852612226138,0.30790655651822785
Центральный,Воронежская обл,Воронежская,Инвестиционные советники,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Жилищные накопительные кооперативы,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Доверительные управляющие,52216.0,2273417.0,1,0.019151218017465912,0.0439866509311754
Центральный,Воронежская обл,Воронежская,Список лиц осуществляющих деятельность представителей владельцев облигаций,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Аудиторские организации оказывающие аудиторские услуги общественно значимым организациям на финансовом рынке,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Страховые организации,52216.0,2273417.0,2,0.038302436034931824,0.0879733018623508
Центральный,Воронежская обл,Воронежская,Операторы инвестиционных платформ,52216.0,2273417.0,0,0.0,0.0
Центральный,Воронежская обл,Воронежская,Операторы платежных систем,52216.0,2273417.0,0,0.0,0.0
